"ticker","year","company_name","expected_fs_pdf","source_hint"
"BTEL","2021","Bakrie Telecom Tbk",".\data\raw\BTEL_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"BTEL","2022","Bakrie Telecom Tbk",".\data\raw\BTEL_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"BTEL","2023","Bakrie Telecom Tbk",".\data\raw\BTEL_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"BTEL","2024","Bakrie Telecom Tbk",".\data\raw\BTEL_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"BTEL","2025","Bakrie Telecom Tbk",".\data\raw\BTEL_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2019","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2020","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2021","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2022","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2023","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2024","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"TOWR","2025","Sarana Menara Nusantara Tbk",".\data\raw\TOWR_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2019","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2020","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2021","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2022","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2023","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2024","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"TBIG","2025","Tower Bersama Infrastructure Tbk",".\data\raw\TBIG_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"SUPR","2019","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"SUPR","2020","Solusi Tunas Pratama Tbk",".\data\raw\SUPR_2020_FS.pdf","IDX Listed Companies > Financial Statements"
