"firm_id","ticker","company_name","year","fs_pdf_path","ar_pdf_path","price_csv_path","fs_downloaded","ar_downloaded","price_downloaded","extraction_done","notes"
"KBLV","KBLV","First Media Tbk","2023",".\data\raw\KBLV_2023_FS.pdf",".\data\annual_reports\KBLV_2023_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
"KBLV","KBLV","First Media Tbk","2024",".\data\raw\KBLV_2024_FS.pdf",".\data\annual_reports\KBLV_2024_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
"KBLV","KBLV","First Media Tbk","2025",".\data\raw\KBLV_2025_FS.pdf",".\data\annual_reports\KBLV_2025_AR.pdf",".\data\prices\prices_KBLV.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2019",".\data\raw\CENT_2019_FS.pdf",".\data\annual_reports\CENT_2019_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2020",".\data\raw\CENT_2020_FS.pdf",".\data\annual_reports\CENT_2020_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2021",".\data\raw\CENT_2021_FS.pdf",".\data\annual_reports\CENT_2021_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2022",".\data\raw\CENT_2022_FS.pdf",".\data\annual_reports\CENT_2022_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2023",".\data\raw\CENT_2023_FS.pdf",".\data\annual_reports\CENT_2023_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2024",".\data\raw\CENT_2024_FS.pdf",".\data\annual_reports\CENT_2024_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"CENT","CENT","Centratama Telekomunikasi Indonesia Tbk","2025",".\data\raw\CENT_2025_FS.pdf",".\data\annual_reports\CENT_2025_AR.pdf",".\data\prices\prices_CENT.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2019",".\data\raw\EXCL_2019_FS.pdf",".\data\annual_reports\EXCL_2019_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2020",".\data\raw\EXCL_2020_FS.pdf",".\data\annual_reports\EXCL_2020_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2021",".\data\raw\EXCL_2021_FS.pdf",".\data\annual_reports\EXCL_2021_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2022",".\data\raw\EXCL_2022_FS.pdf",".\data\annual_reports\EXCL_2022_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2023",".\data\raw\EXCL_2023_FS.pdf",".\data\annual_reports\EXCL_2023_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2024",".\data\raw\EXCL_2024_FS.pdf",".\data\annual_reports\EXCL_2024_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"EXCL","EXCL","XL Axiata Tbk","2025",".\data\raw\EXCL_2025_FS.pdf",".\data\annual_reports\EXCL_2025_AR.pdf",".\data\prices\prices_EXCL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2019",".\data\raw\BTEL_2019_FS.pdf",".\data\annual_reports\BTEL_2019_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2020",".\data\raw\BTEL_2020_FS.pdf",".\data\annual_reports\BTEL_2020_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2021",".\data\raw\BTEL_2021_FS.pdf",".\data\annual_reports\BTEL_2021_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2022",".\data\raw\BTEL_2022_FS.pdf",".\data\annual_reports\BTEL_2022_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2023",".\data\raw\BTEL_2023_FS.pdf",".\data\annual_reports\BTEL_2023_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2024",".\data\raw\BTEL_2024_FS.pdf",".\data\annual_reports\BTEL_2024_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
"BTEL","BTEL","Bakrie Telecom Tbk","2025",".\data\raw\BTEL_2025_FS.pdf",".\data\annual_reports\BTEL_2025_AR.pdf",".\data\prices\prices_BTEL.JK.csv","0","0","0","",""
