"ticker","year","company_name","expected_price_csv","yahoo_symbol","source_hint"
"LCKM","2020","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
"LCKM","2021","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
"LCKM","2022","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
"LCKM","2023","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
"LCKM","2024","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
"LCKM","2025","LCK Global Kedaton Tbk",".\data\prices\prices_LCKM.JK.csv","LCKM.JK","Yahoo Finance / IDX price history"
"GHON","2019","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
"GHON","2020","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
"GHON","2021","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
"GHON","2022","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
"GHON","2023","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
"GHON","2024","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
"GHON","2025","Gihon Telekomunikasi Indonesia Tbk",".\data\prices\prices_GHON.JK.csv","GHON.JK","Yahoo Finance / IDX price history"
